,*ALLER,Å GÅ/Å SKULLE/Å DRA,
,présent,passé composé,futur proche
je,vais,suis allé(e),vais aller
tu,vas,es allé(e),vas aller
"il, elle, on",va,est allé(e),va aller
nous,allons,sommes allé(e)s,allons aller
vous,allez,êtes allé(e)s,allez aller
"ils, elles",vont,sont allé(e)s,vont aller
,AVOIR,Å HA,
,présent,passé composé,futur proche
je/j',ai,ai eu,vais avoir
tu,as,as eu,vas avoir
"il, elle, on",a,a eu,va avoir
nous,avons,avons eu,allons avoir
vous,avez,avez eu,allez avoir
"ils, elles",ont,ont eu,vont avoir
,BOIRE,Å DRIKKE,
,présent,passé composé,futur proche
je/j',bois,ai bu,vais boire
tu,bois,as bu,vas boire
"il, elle, on",boit,a bu,va boire
nous,buvons,avons bu,allons boire
vous,buvez,avez bu,allez boire
"ils, elles",boivent,ont bu,vont boire
,DEVOIR,Å MÅTTE,
,présent,passé composé,futur proche
je/j',dois,ai dû,vais devoir
tu,dois,as dû,vas devoir
"il, elle, on",doit,a dû,va devoir
nous,devons,avons dû,allons devoir
vous,devez,avez dû,allez devoir
"ils, elles",doivent,ont dû,vont devoir
,DORMIR,Å SOVE,
,présent,passé composé,futur proche
je/j',dors,ai dormi,vais dormir
tu,dors,as dormi,vas dormir
"il, elle, on",dort,a dormi,va dormir
nous,dormons,avons dormi,allons dormir
vous,dormez,avez dormi,allez dormir
"ils, elles",dorment,ont dormi,vont dormir
,ÊTRE,Å VÆRE,
,présent,passé composé,futur proche
je/j',suis,ai été,vais être
tu,es,as été,vas être
"il, elle, on",est,a été,va être
nous,sommes,avons été,allons être
vous,êtes,avez été,allez être
"ils, elles",sont,ont été,vont être
,FAIRE,Å GJØRE/Å LAGE/Å DRIVE MED,
,présent,passé composé,futur proche
je/j',fais,ai fait,vais faire
tu,fais,as fait,vas faire
"il, elle, on",fait,a fait,va faire
nous,faisons,avons fait,allons faire
vous,faites,avez fait,allez faire
"ils, elles",font,ont fait,vont faire
,LIRE,Å LESE,
,présent,passé composé,futur proche
je/j',lis,ai lu,vais lire
tu,lis,as lu,vas lire
"il, elle, on",lit,a lu,va lire
nous,lisons,avons lu,allons lire
vous,lisez,avez lu,allez lire
"ils, elles",lisent,ont lu,vont lire
,*PARTIR,Å DRA/Å REISE,
,présent,passé composé,futur proche
je,pars,suis parti(e),vais partir
tu,pars,es parti(e),vas partir
"il, elle, on",part,est parti(e),va partir
nous,partons,sommes parti(e)s,allons partir
vous,partez,êtes parti(e)s,allez partir
"ils, elles",partent,sont parti(e)s,vont partir
,POUVOIR,Å KUNNE,
,présent,passé composé,futur proche
je/j',peux,ai pu,vais pouvoir
tu,peux,as pu,vas pouvoir
"il, elle, on",peut,a pu,va pouvoir
nous,pouvons,avons pu,allons pouvoir
vous,pouvez,avez pu,allez pouvoir
"ils, elles",peuvent,ont pu,vont pouvoir
,PRENDRE,Å TA,
,présent,passé composé,futur proche
je/j',prends,ai pris,vais prendre
tu,prends,as pris,vas prendre
"il, elle, on",prend,a pris,va prendre
nous,prenons,avons pris,allons prendre
vous,prenez,avez pris,allez prendre
"ils, elles",prennent,ont pris,vont prendre
,*SORTIR,Å GÅ UT,
,présent,passé composé,futur proche
je,sors,suis sorti(e),vais sortir
tu,sors,es sorti(e),vas sortir
"il, elle, on",sort,est sorti(e),va sortir
nous,sortons,sommes sorti(e)s,allons sortir
vous,sortez,êtes sorti(e)s,allez sortir
"ils, elles",sortent,sont sorti(e)s,vont sortir
,*VENIR,Å KOMME,
,présent,passé composé,futur proche
je,viens,suis venu(e),vais venir
tu,viens,es venu(e),vas venir
"il, elle, on",vient,est venu(e),va venir
nous,venons,sommes venu(e)s,allons venir
vous,venez,êtes venu(e)s,allez venir
"ils, elles",viennent,sont venu(e)s,vont venir
,VOIR,Å SE,
,présent,passé composé,futur proche
je/j',vois,ai vu,vais voir
tu,vois,as vu,vas voir
"il, elle, on",voit,a vu,va voir
nous,voyons,avons vu,allons voir
vous,voyez,avez vu,allez voir
"ils, elles",voient,ont vu,vont voir
,VOULOIR,Å VILLE,
,présent,passé composé,futur proche
je/j',veux,ai voulu,vais vouloir
tu,veux,as voulu,vas vouloir
"il, elle, on",veut,a voulu,va vouloir
nous,voulons,avons voulu,allons vouloir
vous,voulez,avez voulu,allez vouloir
"ils, elles",veulent,ont voulu,qvont vouloir
